,Weight,Length1,Height,Width
Weight,1.0,0.9157117160312037,0.7243453291993318,0.8865066052433448
Length1,0.9157117160312037,1.0,0.6253779191601662,0.8670497200958207
Height,0.7243453291993318,0.6253779191601662,1.0,0.7928810172871043
Width,0.8865066052433448,0.8670497200958207,0.7928810172871043,1.0
